TIME,B32Irms,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9258,1.72619,0.625193,0.646629,0.627681,0.623128,0.617583,0.637766,0.666678,0.673583,0.664678,0.683451
2.926,1.72636,0.626461,0.647974,0.62822,0.623954,0.617066,0.636832,0.66669,0.673752,0.665646,0.683643
2.9262,1.72595,0.627424,0.648735,0.629077,0.623666,0.618396,0.635763,0.667644,0.673707,0.666868,0.683334
2.9264,1.72535,0.627558,0.647683,0.629519,0.623149,0.621009,0.634705,0.668267,0.673771,0.668073,0.682792
2.9266,1.72503,0.626968,0.645106,0.629329,0.623382,0.623521,0.633882,0.667622,0.673553,0.668701,0.682359
2.9268,1.72573,0.626927,0.642341,0.62847,0.624313,0.624291,0.633529,0.666465,0.672997,0.66884,0.682622
2.927,1.72684,0.627503,0.640286,0.627447,0.625377,0.623286,0.633714,0.665601,0.672632,0.668253,0.683402
2.9272,1.72771,0.628305,0.640126,0.626845,0.625851,0.621035,0.634242,0.666358,0.672702,0.667735,0.684125
2.9274,1.72748,0.629436,0.641637,0.626824,0.625484,0.619082,0.634776,0.668033,0.672665,0.667689,0.684123
2.9276,1.72637,0.630684,0.643421,0.627224,0.625156,0.618591,0.634986,0.669175,0.673095,0.667362,0.683219
2.9278,1.72583,0.63105,0.643382,0.627878,0.625464,0.619318,0.634938,0.668981,0.674392,0.667377,0.682568
2.928,1.72598,0.630219,0.641778,0.628555,0.625914,0.620453,0.634694,0.66838,0.675519,0.667663,0.682526
2.9282,1.72669,0.628708,0.639513,0.62839,0.626218,0.621743,0.634821,0.668732,0.6754,0.667993,0.682878
2.9284,1.72787,0.6276,0.637378,0.627444,0.626512,0.622169,0.635751,0.670178,0.674632,0.668319,0.683699
2.9286,1.72914,0.6276,0.636133,0.626336,0.626765,0.621673,0.637083,0.671619,0.673598,0.668101,0.684602
2.9288,1.72985,0.628356,0.636076,0.626036,0.626855,0.620897,0.637907,0.672046,0.672632,0.667418,0.68528
2.929,1.72952,0.629022,0.636644,0.626454,0.626787,0.620167,0.637722,0.67156,0.672173,0.666509,0.685092
2.9292,1.72861,0.628732,0.63691,0.627052,0.626598,0.620167,0.636818,0.669932,0.672603,0.66624,0.684369
2.9294,1.72851,0.627476,0.636297,0.627249,0.626564,0.62039,0.635969,0.668972,0.673987,0.667344,0.683921
2.9296,1.73014,0.626413,0.63508,0.626728,0.626546,0.620787,0.635932,0.668946,0.675317,0.669043,0.684802
2.9298,1.73235,0.62622,0.63412,0.626127,0.62703,0.621069,0.636821,0.668708,0.675689,0.669872,0.686512
2.93,1.73285,0.626343,0.634203,0.625888,0.627717,0.620772,0.638136,0.667807,0.675204,0.669313,0.687257
2.9302,1.73138,0.62614,0.63539,0.625615,0.628476,0.620575,0.639263,0.665938,0.674538,0.667649,0.686296
2.9304,1.72921,0.625571,0.63696,0.625078,0.628784,0.620884,0.63976,0.664644,0.674199,0.665812,0.68454
2.9306,1.72779,0.624926,0.638006,0.62442,0.628508,0.621206,0.639566,0.663453,0.674356,0.665685,0.683109
2.9308,1.72834,0.62385,0.638075,0.624266,0.627787,0.620952,0.63913,0.662876,0.674777,0.666972,0.683073
2.931,1.73025,0.622503,0.637269,0.624737,0.627178,0.620374,0.639081,0.662611,0.675,0.668716,0.684345
2.9312,1.73178,0.621828,0.636634,0.625518,0.627235,0.620045,0.639425,0.661198,0.67463,0.669478,0.68567
2.9314,1.73178,0.621977,0.637346,0.625913,0.6277,0.619913,0.639997,0.659071,0.673619,0.668661,0.685925
2.9316,1.73053,0.622731,0.639055,0.625697,0.627964,0.619985,0.640334,0.656819,0.672419,0.666966,0.685009
2.9318,1.72904,0.623005,0.640556,0.625259,0.628048,0.620144,0.640012,0.655444,0.671126,0.665585,0.683764
2.932,1.72837,0.62246,0.640917,0.624809,0.627912,0.620367,0.639291,0.655226,0.67013,0.66598,0.68295
2.9322,1.7286,0.621284,0.640195,0.624771,0.627535,0.620461,0.638514,0.655041,0.669953,0.66794,0.682957
2.9324,1.72947,0.620368,0.63935,0.625151,0.627349,0.620285,0.637991,0.6537,0.670224,0.669622,0.683454
2.9326,1.73036,0.619938,0.639388,0.625492,0.627688,0.619921,0.637841,0.65177,0.670369,0.670329,0.684188
2.9328,1.73052,0.620225,0.640554,0.625576,0.628162,0.619625,0.637692,0.650707,0.669571,0.670169,0.684384
2.933,1.72997,0.621193,0.642296,0.625458,0.628244,0.619531,0.637579,0.650909,0.668175,0.669467,0.684027
2.9332,1.72943,0.621836,0.643734,0.625065,0.627713,0.619712,0.637395,0.651772,0.666596,0.668787,0.683451
2.9334,1.72935,0.621976,0.644201,0.624472,0.626568,0.620711,0.637614,0.652325,0.664768,0.669177,0.683282
2.9336,1.72903,0.621521,0.643667,0.623939,0.625547,0.621735,0.638402,0.652427,0.663099,0.670452,0.683081
2.9338,1.72851,0.620592,0.642756,0.623683,0.625317,0.621652,0.639823,0.652755,0.662465,0.671358,0.682619
2.934,1.72821,0.619766,0.642364,0.624009,0.62631,0.620522,0.641463,0.653959,0.662533,0.671291,0.682284
2.9342,1.72784,0.619409,0.642933,0.624557,0.627536,0.619167,0.642344,0.655058,0.662484,0.670264,0.681996
2.9344,1.7273,0.619464,0.643678,0.624992,0.627717,0.618132,0.642112,0.656329,0.661595,0.669233,0.681555
2.9346,1.72725,0.619759,0.643796,0.625596,0.626589,0.61779,0.6415,0.658173,0.65987,0.668751,0.681346
2.9348,1.72769,0.620044,0.642983,0.626018,0.62455,0.618196,0.641564,0.659544,0.658007,0.668779,0.681576
2.935,1.72843,0.619941,0.641966,0.626049,0.622978,0.61849,0.642365,0.659728,0.656835,0.669419,0.682092
2.9352,1.72903,0.619509,0.641356,0.625981,0.622785,0.618879,0.643352,0.658871,0.65663,0.670194,0.682617
2.9354,1.72873,0.619198,0.641569,0.625653,0.623941,0.619282,0.644001,0.657875,0.656977,0.670498,0.682503
