TIME,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9326,0.619874,0.654287,0.618464,0.616736,0.620888,0.637536,0.688731,0.669472,0.675705,0.670053
2.9328,0.620138,0.655485,0.617442,0.616976,0.621219,0.638221,0.687425,0.670434,0.674825,0.670881
2.933,0.620714,0.656548,0.616521,0.617729,0.622101,0.639456,0.687396,0.669546,0.675007,0.67176
2.9332,0.621438,0.656812,0.616355,0.618214,0.622883,0.639541,0.68737,0.666832,0.676166,0.672367
2.9334,0.622053,0.656207,0.616483,0.617996,0.623015,0.638546,0.686752,0.663583,0.677449,0.672489
2.9336,0.622349,0.655132,0.616394,0.617181,0.62296,0.636913,0.685965,0.661794,0.677894,0.672094
2.9338,0.622198,0.654164,0.616,0.616365,0.623431,0.635911,0.686152,0.662149,0.677013,0.671662
2.934,0.621786,0.653798,0.615444,0.616584,0.62427,0.635914,0.687163,0.663565,0.675477,0.671738
2.9342,0.621375,0.65409,0.614854,0.617743,0.624638,0.636262,0.687272,0.6642,0.674627,0.672324
2.9344,0.621333,0.65429,0.614329,0.618768,0.62417,0.636317,0.687106,0.663874,0.674922,0.672697
2.9346,0.621896,0.653918,0.613979,0.619023,0.62324,0.635957,0.687563,0.662778,0.676233,0.672173
2.9348,0.622451,0.652751,0.613936,0.618728,0.622515,0.635415,0.687893,0.661476,0.677183,0.670729
2.935,0.622855,0.651667,0.614235,0.618561,0.622496,0.634834,0.687351,0.660765,0.677473,0.669342
2.9352,0.622879,0.651137,0.614775,0.618775,0.623261,0.634449,0.686091,0.660904,0.677379,0.668424
2.9354,0.623047,0.65124,0.615346,0.619249,0.624331,0.634534,0.685115,0.661387,0.677467,0.668518
2.9356,0.623265,0.651199,0.61572,0.619596,0.625034,0.63515,0.685343,0.661608,0.677992,0.669363
2.9358,0.62393,0.650641,0.615807,0.619669,0.62504,0.636096,0.686366,0.661386,0.67808,0.670381
2.936,0.62427,0.649628,0.615673,0.619624,0.624414,0.636966,0.687402,0.661036,0.677693,0.670498
2.9362,0.623891,0.648691,0.615505,0.619727,0.623496,0.637372,0.688085,0.661013,0.676884,0.669483
2.9364,0.623105,0.64774,0.615869,0.61983,0.6229,0.637439,0.68845,0.661337,0.676618,0.668162
2.9366,0.62213,0.647079,0.616901,0.619722,0.623049,0.637776,0.689064,0.661821,0.676872,0.667492
2.9368,0.621422,0.646856,0.618387,0.619727,0.623796,0.638566,0.690226,0.662335,0.677456,0.668003
2.937,0.621177,0.646472,0.619851,0.62012,0.624615,0.63958,0.691328,0.662568,0.678298,0.668865
2.9372,0.621337,0.645869,0.620587,0.620746,0.624604,0.640458,0.691255,0.662325,0.678629,0.66972
2.9374,0.621875,0.64504,0.620492,0.621197,0.6236,0.640981,0.689686,0.662007,0.678422,0.670256
2.9376,0.622459,0.644399,0.619822,0.621562,0.621775,0.641315,0.687862,0.661797,0.677713,0.669954
2.9378,0.624074,0.644193,0.619404,0.62188,0.619676,0.64186,0.686595,0.661778,0.67712,0.66915
2.938,0.625763,0.644402,0.619972,0.621929,0.618202,0.642793,0.686898,0.662029,0.676685,0.668501
2.9382,0.626121,0.644802,0.621258,0.621787,0.617688,0.64405,0.687292,0.662516,0.677116,0.668482
2.9384,0.625454,0.645198,0.622584,0.621918,0.618344,0.645395,0.686795,0.662977,0.678028,0.669236
2.9386,0.624973,0.645511,0.623374,0.622493,0.620513,0.646435,0.68461,0.663908,0.678966,0.670464
2.9388,0.625087,0.645709,0.623255,0.623283,0.622045,0.646777,0.681876,0.665008,0.679283,0.671753
2.939,0.625936,0.645868,0.622414,0.624559,0.621106,0.6466,0.679726,0.665672,0.678579,0.672499
2.9392,0.627388,0.645859,0.621421,0.625448,0.618494,0.646513,0.678063,0.665478,0.677484,0.672644
2.9394,0.628419,0.645916,0.621092,0.625393,0.616083,0.646891,0.676386,0.66444,0.676376,0.673016
2.9396,0.628224,0.646316,0.621731,0.62433,0.615464,0.647247,0.674612,0.663242,0.675672,0.673795
2.9398,0.628216,0.646913,0.62298,0.622922,0.6167,0.646942,0.673249,0.663121,0.676005,0.674665
2.94,0.629677,0.647276,0.624154,0.622303,0.618573,0.645965,0.672172,0.663917,0.677309,0.675132
