TIME,B32Vrms
9.795,221.759
9.8,221.903
9.805,224.425
9.81,224.029
9.815,223.385
9.82,223.678
9.825,224.671
9.83,224.322
9.835,224.893
9.84,223.966
9.845,223.435
9.85,222.318
9.855,223.351
9.86,224.517
9.865,223.839
9.87,224.439
9.875,225.488
9.88,224.435
9.885,224.302
9.89,224.692
9.895,224.773
9.9,224.062
9.905,223.739
9.91,225.755
9.915,226.134
9.92,225.335
9.925,224.374
9.93,225.321
9.935,226.046
9.94,225.072
9.945,226.547
9.95,225.463
9.955,225.294
9.96,225.038
9.965,224.546
9.97,223.981
9.975,226.102
9.98,225.97
9.985,225.791
9.99,225.388
9.995,224.874
10,226.027
