TIME,V16_kV,P_fleet_MW,IB32A,IB32B,IB32C,BRK32,IB30A,IB30B,IB30C,BRK30,IB31A,IB31B,IB31C,BRK31
2.426,234.75,6256,8.9829,42.568,-51.551,0,10.012,13.454,-23.466,0,1.481,48.702,-50.183,0
2.4262,234.7,6255.8,5.5539,42.2,-47.754,0,14.078,12.572,-26.65,0,-2.1158,48.209,-46.094,0
2.4264,234.73,6253.3,0.19544,47.803,-47.999,0,9.9594,15.694,-25.653,0,-8.2567,48.181,-39.924,0
2.4266,234.85,6252.6,-9.1404,60.923,-51.783,0,3.86,18.536,-22.396,0,-14.901,49.423,-34.522,0
2.4268,235.06,6253.4,-15.936,68.729,-52.793,0,2.3446,19.61,-21.955,0,-19.987,51.735,-31.748,0
2.427,235.2,6253.8,-19.46,68.708,-49.248,0,0.12373,21.099,-21.223,0,-22.401,54.232,-31.832,0
2.4272,235.2,6254.1,-20.682,62.057,-41.375,0,-0.14603,21.298,-21.152,0,-22.347,55.418,-33.072,0
2.4274,235.01,6254.2,-21.738,52.465,-30.727,0,0.18064,20.706,-20.887,0,-20.941,54.828,-33.886,0
2.4276,234.73,6255.6,-24.251,49.517,-25.266,0,-0.93832,22.335,-21.396,0,-25.214,55.332,-30.118,0
2.4278,234.47,6256.2,-29.359,52.815,-23.456,0,-3.0185,22.206,-19.187,0,-29.813,53.72,-23.907,0
2.428,234.32,6261.4,-35.823,58.164,-22.341,0,-9.4931,25.594,-16.101,0,-31.479,50.784,-19.305,0
2.4282,234.37,6266.4,-42.883,64.154,-21.271,0,-14.434,27.091,-12.657,0,-30.969,47.954,-16.985,0
2.4284,234.52,6266.7,-47.903,67.727,-19.824,0,-12.767,25.763,-12.996,0,-31.576,46.42,-14.845,0
2.4286,234.7,6260,-50.247,62.723,-12.476,0,-7.3784,21.445,-14.066,0,-34.955,46.32,-11.365,0
2.4288,234.86,6250.7,-49.82,52.62,-2.7998,0,-8.5977,19.369,-10.772,0,-40.947,46.928,-5.9811,0
2.429,234.97,6247.7,-49.676,45.11,4.5659,0,-14.598,22.491,-7.893,0,-45.735,46.132,-0.39687,0
2.4292,234.99,6251.9,-53.801,43.614,10.188,0,-20.675,28.524,-7.8485,0,-48.38,42.966,5.4141,0
2.4294,234.97,6258.9,-59.209,46.837,12.371,0,-20.657,29.423,-8.7664,0,-47.846,37.528,10.318,0
2.4296,234.97,6261.3,-61.94,50.119,11.821,0,-19.266,24.089,-4.8234,0,-45.267,31.938,13.329,0
2.4298,234.99,6261.2,-64.075,51.076,12.999,0,-17.789,16.95,0.83916,0,-45.682,28.814,16.867,0
2.43,234.95,6259,-63.393,47.322,16.072,0,-17.686,17.349,0.33721,0,-48.679,27.079,21.6,0
2.4302,234.86,6254.7,-59.446,39.698,19.748,0,-20.866,19.831,1.0343,0,-51.715,26.515,25.2,0
2.4304,234.74,6251,-56.281,32.221,24.06,0,-23.051,19.764,3.2872,0,-50.641,22.692,27.949,0
2.4306,234.58,6249.8,-55.178,26.743,28.434,0,-25.612,19.015,6.5962,0,-48.255,17.084,31.17,0
2.4308,234.5,6251,-57.783,24.326,33.457,0,-28.598,18.864,9.7337,0,-45.76,11.421,34.339,0
2.431,234.49,6253.1,-59.678,23.58,36.098,0,-29.005,18.484,10.522,0,-43.836,5.4761,38.36,0
2.4312,234.59,6253.9,-60.651,21.073,39.579,0,-24.144,17.581,6.5628,0,-42.377,0.60651,41.771,0
2.4314,234.71,6251,-57.4,14.615,42.785,0,-19.428,15.544,3.8838,0,-41.203,-3.0385,44.241,0
2.4316,234.8,6246.4,-53.821,6.5658,47.255,0,-20.05,13.87,6.1803,0,-40.431,-5.6801,46.111,0
2.4318,234.89,6241.9,-48.504,0.15082,48.353,0,-24.312,12.577,11.736,0,-38.538,-8.8203,47.358,0
2.432,234.97,6240.3,-45.388,-5.0845,50.472,0,-26.751,9.7979,16.953,0,-35.618,-13.288,48.907,0
2.4322,235.02,6241.2,-42.843,-8.0811,50.924,0,-24.27,6.8696,17.4,0,-32.092,-18.649,50.741,0
2.4324,235.09,6246.1,-43.717,-11.414,55.131,0,-21.76,4.532,17.229,0,-28.979,-23.59,52.569,0
2.4326,235.13,6250.5,-42.628,-14.161,56.789,0,-19.482,3.4302,16.052,0,-26.95,-26.724,53.674,0
2.4328,235.11,6250.4,-37.865,-17.989,55.854,0,-20.002,2.4747,17.527,0,-26.309,-27.744,54.053,0
2.433,235.01,6246,-30.474,-22.767,53.241,0,-20.645,1.6602,18.984,0,-26.694,-27.001,53.695,0
2.4332,234.79,6240.3,-24.112,-27.607,51.719,0,-18.293,-1.1215,19.415,0,-27.342,-25.619,52.961,0
2.4334,234.56,6237.8,-18.744,-34.145,52.889,0,-16.517,-4.0896,20.607,0,-26.205,-25.93,52.135,0
2.4336,234.42,6239.2,-15.305,-38.434,53.739,0,-13.62,-7.5001,21.12,0,-20.762,-30.448,51.209,0
2.4338,234.39,6242.7,-13.542,-40.874,54.415,0,-11.822,-9.5775,21.399,0,-12.984,-37.543,50.527,0
2.434,234.44,6245.5,-9.9492,-44.98,54.929,0,-12.243,-9.146,21.39,0,-4.7869,-46.221,51.008,0
2.4342,234.59,6246.5,-5.6976,-47.043,52.74,0,-10.776,-9.9816,20.758,0,0.87378,-50.794,49.92,0
2.4344,234.75,6246,1.4305,-49.982,48.552,0,-6.1988,-12.639,18.838,0,2.5024,-50.18,47.677,0
2.4346,234.91,6244.4,7.8829,-52.117,44.234,0,-2.0685,-16.429,18.498,0,3.6071,-47.124,43.517,0
2.4348,235.02,6242.1,13.164,-54.167,41.004,0,-1.5859,-17.798,19.383,0,7.2604,-45.54,38.28,0
2.435,235.13,6241.9,16.929,-56.227,39.298,0,-3.0527,-18.138,21.191,0,13.157,-47.336,34.179,0
2.4352,235.23,6242.8,19.44,-57.983,38.543,0,-2.8496,-18.632,21.482,0,19.44,-51.948,32.508,0
2.4354,235.24,6244.1,21.052,-59.017,37.965,0,1.376,-19.801,18.425,0,23.807,-56.628,32.821,0
2.4356,235.11,6244.9,22.439,-59.441,37.002,0,7.0817,-21.377,14.295,0,24.96,-58.588,33.628,0
2.4358,234.86,6245.2,23.915,-59.46,35.546,0,9.7287,-22.242,12.513,0,23.503,-56.939,33.436,0
2.436,234.6,6245,26.902,-59.708,32.807,0,7.7627,-22.309,14.547,0,21.394,-53.066,31.672,0
2.4362,234.47,6243.9,32.864,-59.099,26.235,0,3.6879,-22.422,18.734,0,21.603,-49.342,27.738,0
2.4364,234.47,6243.2,39.722,-57.608,17.886,0,1.4488,-23.451,22.002,0,26.306,-47.92,21.614,0
2.4366,234.57,6243.9,45.404,-57.077,11.673,0,4.0795,-25.131,21.052,0,34.258,-48.965,14.706,0
2.4368,234.69,6245.7,49.009,-55.553,6.5439,0,11.532,-25.257,13.725,0,47.34,-52.694,5.3545,0
2.437,234.78,6247.5,50.088,-53.404,3.3163,0,17.904,-23.58,5.6759,0,58.838,-55.994,-2.8445,0
2.4372,234.83,6246,50.177,-51.604,1.4267,0,18.706,-23.324,4.6183,0,56.079,-51.997,-4.0817,0
2.4374,234.86,6243.8,51.493,-49.31,-2.1832,0,16.345,-24.342,7.9971,0,45.546,-43.773,-1.7723,0
2.4376,234.91,6244.7,56.278,-50.298,-5.9799,0,13.777,-24.678,10.901,0,36.046,-35.115,-0.93077,0
2.4378,234.99,6248.6,61.532,-47.168,-14.364,0,14.714,-22.925,8.2108,0,35.449,-30.312,-5.1365,0
2.438,235.11,6253.6,63.452,-41.387,-22.065,0,19.293,-20.308,1.0148,0,43.727,-30.587,-13.14,0
2.4382,235.19,6258.5,64.316,-37.663,-26.653,0,23.857,-19.293,-4.5641,0,55.72,-33.315,-22.405,0
2.4384,235.14,6262.2,61.885,-34.868,-27.017,0,25.081,-20.309,-4.7718,0,67.389,-36.697,-30.691,0
2.4386,234.96,6263.3,59.2,-32.749,-26.451,0,23.296,-21.57,-1.7251,0,71.425,-38.146,-33.279,0
2.4388,234.81,6261.7,59.82,-33.067,-26.754,0,21.174,-21.424,0.24952,0,59.546,-28.248,-31.298,0
2.439,234.73,6260.2,62.637,-30.453,-32.183,0,20.988,-20.091,-0.89685,0,43.662,-14.081,-29.581,0
2.4392,234.7,6258.7,63.976,-23.95,-40.026,0,22.863,-19.502,-3.3608,0,33.034,-2.2029,-30.831,0
2.4394,234.7,6258.3,61.324,-14.075,-47.249,0,25.187,-20.015,-5.1716,0,33.696,2.3301,-36.026,0
2.4396,234.73,6260.2,58.27,-7.9519,-50.318,0,26.324,-18.274,-8.0505,0,43.823,-0.8723,-42.95,0
2.4398,234.82,6263.1,55.287,-4.5632,-50.724,0,24.509,-14.244,-10.266,0,52.53,-4.1188,-48.411,0
2.44,234.97,6263.8,51.381,-1.634,-49.747,0,22.2,-10.392,-11.808,0,52.051,-1.7354,-50.316,0
2.4402,235.13,6264.8,50.142,-0.12636,-50.016,0,22.264,-8.4524,-13.811,0,42.122,7.2044,-49.326,0
2.4404,235.29,6264,51.361,2.8177,-54.179,0,23.02,-9.6673,-13.353,0,29.337,18.442,-47.779,0
2.4406,235.4,6264.1,52.008,8.1387,-60.146,0,24.321,-9.127,-15.194,0,21.992,26.49,-48.483,0
2.4408,235.39,6264.4,50.057,14.336,-64.393,0,23.45,-6.2537,-17.196,0,23.327,28.151,-51.477,0
2.441,235.27,6268,42.404,22.24,-64.645,0,23.085,-2.8841,-20.201,0,30.531,24.496,-55.026,0
2.4412,235.09,6273,34.288,29.027,-63.316,0,21.176,-0.7165,-20.46,0,39.963,19.476,-59.439,0
2.4414,234.92,6276.3,28.495,31.726,-60.221,0,18.478,2.3238,-20.802,0,40.651,19.053,-59.704,0
2.4416,234.8,6275.6,28.508,32.455,-60.963,0,14.312,3.8652,-18.177,0,29.826,27.246,-57.072,0
2.4418,234.8,6273.2,27.087,34.825,-61.912,0,12.956,4.6894,-17.646,0,13.866,37.751,-51.618,0
2.442,234.82,6271.2,24.009,37.17,-61.178,0,15.101,4.7909,-19.891,0,2.0815,44.773,-46.855,0
2.4422,234.85,6272.3,21.253,41.927,-63.18,0,15.227,6.6351,-21.862,0,0.488,46.544,-47.032,0
2.4424,234.88,6274.2,15.257,48.304,-63.561,0,12.798,10.199,-22.998,0,5.4423,43.385,-48.827,0
2.4426,234.92,6275.5,7.5428,52.362,-59.904,0,8.0943,13.376,-21.47,0,10.527,39.427,-49.954,0
2.4428,235.05,6276.4,-1.0154,55.573,-54.557,0,4.9565,15.267,-20.223,0,8.3516,39.428,-47.779,0
2.443,235.21,6277.5,-7.3707,56.435,-49.064,0,3.5319,15.193,-18.725,0,-2.205,44.181,-41.976,0
2.4432,235.37,6277.4,-9.0223,56.869,-47.847,0,3.3444,14.616,-17.96,0,-14.888,51.384,-36.496,0
2.4434,235.49,6276.2,-7.3734,56.315,-48.942,0,2.9328,15.929,-18.862,0,-23.066,57.162,-34.096,0
2.4436,235.55,6274.6,-7.6539,59.205,-51.551,0,0.43781,19.253,-19.691,0,-23.828,58.52,-34.692,0
2.4438,235.46,6272.4,-12.677,61.501,-48.824,0,-3.1325,21.531,-18.398,0,-19.118,55.348,-36.23,0
2.444,235.27,6271,-24.595,62.946,-38.35,0,-6.2381,22.001,-15.763,0,-15.028,51.002,-35.974,0
2.4442,235.01,6270.2,-35.208,62.293,-27.084,0,-7.2937,21.506,-14.213,0,-18.872,49.856,-30.984,0
